Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg)
5.0,Cuddalore,CO_43,ALLUVIAL,125.0,,wet,100.0,5.0,200.0,,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,450.0,30250.0
5.0,Cuddalore,PONMANI,alluvial,125.0,62.5,WET,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,,33.0,4.0,10.0,,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,500.0,31135.0
5.0,Cuddalore,delux ponni,,125.0,,wet,100.0,5.0,200.0,,135.65,51.9,75.0,,19.6,,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,,400.0,31815.0
5.0,Cuddalore,CO_43,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,,10.0,8.0,10.0,SW,W,,WSW,72.0,78.0,88.0,85.0,450.0,31045.0
5.0,Cuddalore,PONMANI,ALLUVIAL,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,500.0,31555.0
5.0,CUDDALORE,delux ponni,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,,,75.0,,19.6,,187.2,270.8,167.0,250.0,61.0,64.0,18.5,,16.0,30.0,15.5,31.0,16.0,33.0,,10.0,,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,400.0,30575.0
5.0,Kurinjipadi,CO_43,CLAY,125.0,62.5,,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,19.6,20.4,,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,,85.0,84.0,87.0,450.0,
,,delux ponni,alluvial,,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,,18.5,35.0,17.0,32.5,,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,400.0,30100.0
5.0,Kurinjipadi,ponmani,clay,125.0,62.5,,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,500.0,32085.0
5.0,Kurinjipadi,ponmani,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,19.6,,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,,500.0,31980.0
5.0,Kurinjipadi,,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,,87.0,500.0,31555.0
5.0,Kurinjipadi,ponmani,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,19.6,20.4,,270.8,167.0,250.0,61.0,64.0,19.5,34.0,,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,,NW,S,SE,SSE,64.6,85.0,84.0,87.0,500.0,30405.0
5.0,Kurinjipadi,CO_43,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,,18.5,35.0,17.0,32.5,16.0,,,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,,31420.0
5.0,Kurinjipadi,ponmani,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,,51.9,,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,,4.0,10.0,6.0,NW,S,,SSE,64.6,85.0,84.0,87.0,500.0,30965.0
,Kurinjipadi,ponmani,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,500.0,31140.0
,Kurinjipadi,,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,,,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,500.0,28615.0
5.0,SANKARAPURAM,delux ponni,clay,125.0,62.5,dry,100.0,5.0,,10.0,,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,,10.0,12.0,10.0,12.0,SSE,W,SW,,72.7,91.0,83.0,81.0,400.0,30250.0
5.0,,delux ponni,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,30610.0
,Sankarapuram,delux ponni,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,,,16.5,35.0,,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,,400.0,30575.0
5.0,Sankarapuram,ponmani,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,,10.0,12.0,10.0,12.0,SSE,,SW,NW,72.7,91.0,,81.0,500.0,30075.0
5.0,Sankarapuram,delux ponni,clay,125.0,62.5,WET,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,31605.0
5.0,Sankarapuram,CO_43,alluvial,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,,,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,,31065.0
5.0,Sankarapuram,delux ponni,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,31135.0
5.0,Sankarapuram,delux ponni,ALLUVIAL,125.0,62.5,wet,100.0,5.0,200.0,10.0,,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,32080.0
,Sankarapuram,CO_43,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,,18.1,,,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,,,450.0,31135.0
5.0,Sankarapuram,ponmani,clay,125.0,62.5,wet,100.0,,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,,12.0,SSE,W,,NW,72.7,91.0,83.0,81.0,500.0,31810.0
5.0,Sankarapuram,delux ponni,alluvial,125.0,62.5,wet,100.0,5.0,200.0,,135.65,51.9,75.0,3000.0,,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,30885.0
5.0,Sankarapuram,CO_43,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,450.0,31430.0
5.0,Sankarapuram,ponmani,alluvial,,,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,500.0,30755.0
5.0,Sankarapuram,,clay,,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,,17.5,28.0,,34.0,16.5,35.0,10.0,12.0,10.0,,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,
5.0,Sankarapuram,CO_43,alluvial,125.0,,WET,100.0,5.0,,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,,SW,NW,72.7,91.0,83.0,81.0,450.0,31815.0
5.0,SANKARAPURAM,delux ponni,alluvial,125.0,62.5,,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,,28.0,18.0,,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,,,400.0,30460.0
5.0,Sankarapuram,ponmani,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,,30960.0
5.0,Sankarapuram,CO_43,alluvial,125.0,62.5,wet,,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,450.0,32020.0
5.0,Sankarapuram,ponmani,clay,125.0,62.5,,,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,,W,SW,NW,72.7,91.0,83.0,81.0,500.0,32090.0
5.0,Sankarapuram,delux ponni,alluvial,125.0,62.5,wet,100.0,5.0,200.0,10.0,,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,,SSE,W,SW,NW,72.7,91.0,83.0,81.0,400.0,31780.0
5.0,Cuddalore,,clay,125.0,,wet,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,450.0,30795.0
5.0,Kurinjipadi,ponmani,alluvial,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,,32.5,16.0,30.5,10.0,4.0,10.0,6.0,,S,SE,,,85.0,84.0,87.0,500.0,31045.0
5.0,Panruti,delux ponni,,125.0,62.5,WET,100.0,5.0,,10.0,135.65,51.9,75.0,,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,400.0,30575.0
5.0,Kallakurichi,CO_43,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,,8.0,6.0,,6.0,W,WNW,SE,S,,95.0,81.0,84.0,450.0,32155.0
5.0,Sankarapuram,delux ponni,,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,,91.0,83.0,81.0,400.0,30355.0
5.0,Chinnasalem,ponmani,CLAY,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,,15.5,34.0,,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,,NE,NNW,,,92.0,88.0,500.0,31625.0
5.0,Cuddalore,CO_43,alluvial,125.0,62.5,wet,100.0,5.0,200.0,10.0,,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,450.0,32345.0
5.0,KURINJIPADI,ponmani,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,,SSE,64.6,85.0,84.0,,500.0,31400.0
,Panruti,delux ponni,clay,125.0,62.5,,100.0,5.0,200.0,,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,,30.0,17.5,33.5,,,4.0,,4.0,12.0,ENE,NE,,W,85.0,96.0,84.0,79.0,400.0,30540.0
5.0,Kallakurichi,CO_43,alluvial,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,450.0,30905.0
5.0,Sankarapuram,ponmani,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,500.0,30805.0
5.0,Chinnasalem,delux ponni,,125.0,62.5,wet,100.0,5.0,,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,,,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,,8.0,10.0,E,ENE,NE,,78.6,80.0,92.0,88.0,400.0,31535.0
5.0,Cuddalore,CO_43,alluvial,125.0,62.5,wet,100.0,5.0,,,135.65,51.9,75.0,3000.0,19.6,,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,450.0,31555.0
5.0,Kurinjipadi,delux ponni,clay,125.0,62.5,wet,100.0,,200.0,10.0,135.65,51.9,,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,400.0,
5.0,Panruti,ponmani,clay,125.0,62.5,dry,,,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,,185.2,272.8,165.3,251.7,60.0,65.0,20.0,,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,500.0,31920.0
5.0,,ponmani,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,,W,WNW,SE,S,88.5,95.0,81.0,84.0,500.0,31035.0
5.0,Sankarapuram,ponmani,alluvial,125.0,62.5,dry,,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,500.0,30805.0
5.0,Chinnasalem,ponmani,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,80.0,92.0,88.0,500.0,30285.0
5.0,Cuddalore,CO_43,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,450.0,32050.0
5.0,Kurinjipadi,ponmani,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,,32.5,16.0,30.5,,4.0,10.0,6.0,NW,,SE,SSE,64.6,85.0,84.0,87.0,500.0,30855.0
5.0,Panruti,ponmani,ALLUVIAL,125.0,62.5,DRY,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,,NE,NNE,,85.0,96.0,84.0,79.0,500.0,30250.0
5.0,KALLAKURICHI,ponmani,alluvial,125.0,62.5,dry,,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,,272.8,,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,32.5,,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,500.0,30610.0
,Sankarapuram,delux ponni,alluvial,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,,83.0,81.0,400.0,30075.0
5.0,Chinnasalem,delux ponni,,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,,34.0,15.0,33.0,15.0,31.5,,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,80.0,92.0,88.0,400.0,31065.0
5.0,Cuddalore,delux ponni,alluvial,125.0,,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,,,20.4,187.2,,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,,72.0,78.0,88.0,85.0,400.0,
5.0,Kurinjipadi,,,,,dry,100.0,5.0,200.0,10.0,135.65,,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,,34.0,18.5,35.0,17.0,,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,500.0,31810.0
5.0,Panruti,delux ponni,clay,125.0,62.5,DRY,100.0,5.0,200.0,,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,,W,85.0,96.0,84.0,79.0,400.0,30755.0
5.0,Kallakurichi,CO_43,clay,125.0,62.5,,100.0,5.0,200.0,,135.65,51.9,75.0,3000.0,,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,,17.0,32.0,16.5,,15.5,32.5,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,,31815.0
5.0,Sankarapuram,delux ponni,clay,125.0,,,100.0,5.0,200.0,,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,,83.0,81.0,400.0,32090.0
5.0,Chinnasalem,delux ponni,clay,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,,,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,,,78.6,80.0,,88.0,400.0,31045.0
5.0,,CO_43,clay,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,,20.4,187.2,270.8,167.0,250.0,61.0,64.0,,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,,,W,,WSW,72.0,78.0,88.0,85.0,450.0,32155.0
5.0,Kurinjipadi,ponmani,,,62.5,WET,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,,61.0,64.0,19.5,34.0,18.5,35.0,17.0,,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,500.0,31400.0
,Panruti,delux ponni,clay,125.0,62.5,WET,100.0,5.0,200.0,,,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,,251.7,60.0,65.0,20.0,,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,400.0,30805.0
5.0,KALLAKURICHI,CO_43,clay,125.0,,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,450.0,
5.0,,ponmani,alluvial,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,500.0,30250.0
5.0,Chinnasalem,delux ponni,alluvial,,62.5,wet,100.0,5.0,,10.0,135.65,51.9,75.0,3000.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,,ENE,,NNW,,80.0,,88.0,400.0,30610.0
5.0,Cuddalore,CO_43,ALLUVIAL,125.0,62.5,wet,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,,WSW,72.0,78.0,88.0,85.0,450.0,30575.0
5.0,Kurinjipadi,delux ponni,alluvial,125.0,,wet,100.0,,200.0,10.0,135.65,51.9,75.0,3000.0,19.6,20.4,,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,400.0,31605.0
5.0,Panruti,ponmani,CLAY,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,,,18.0,30.0,17.5,33.5,,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,500.0,31135.0
5.0,Kallakurichi,,alluvial,125.0,62.5,,100.0,5.0,200.0,10.0,135.65,51.9,,3000.0,18.5,21.5,185.2,,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,,450.0,32080.0
5.0,Sankarapuram,ponmani,ALLUVIAL,125.0,62.5,dry,100.0,,200.0,10.0,135.65,51.9,75.0,,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,,83.0,81.0,500.0,30885.0
5.0,Chinnasalem,DELUX PONNI,ALLUVIAL,125.0,62.5,dry,100.0,5.0,200.0,10.0,135.65,51.9,75.0,3000.0,,21.9,185.6,272.4,166.1,,60.2,,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,,NE,NNW,78.6,80.0,92.0,88.0,400.0,30945.0
